,NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA_EVOLUTION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL,bulk,power
187,149,1,1491,Dragonite,Dragon,Flying,Brown,Inner Focus,,Multiscale,1,0,0,2.2,210.0,91,134,95,100,100,80,600,218,134
188,150,1,1501,Mewtwo,Psychic,,Purple,Pressure,,Unnerve,1,1,0,2.0,122.0,106,110,90,154,90,130,680,224,154
189,150,2,1502,Mega Mewtwo X,Psychic,Fighting,Purple,Steadfast,,,1,1,1,2.3,127.0,106,190,100,154,100,130,780,245,190
190,150,3,1503,Mega Mewtwo Y,Psychic,,Purple,Insomnia,,,1,1,1,1.5,33.0,106,150,70,194,120,140,780,183,194
191,151,1,1511,Mew,Psychic,,Pink,Synchronize,,,1,1,0,0.4,4.0,100,100,100,100,100,100,600,238,100
192,152,1,1521,Chikorita,Grass,,Green,Overgrow,,Leaf guard,2,0,0,0.9,6.4,45,49,65,49,65,45,318,122,49
193,153,1,1531,Bayleef,Grass,,Green,Overgrow,,Leaf guard,2,0,0,1.2,15.8,60,62,80,63,80,60,405,158,63
194,154,1,1541,Meganium,Grass,,Green,Overgrow,,Leaf guard,2,0,0,1.8,100.5,80,82,100,83,100,80,525,214,83
195,155,1,1551,Cyndaquil,Fire,,Yellow,Blaze,,Flash Fire,2,0,0,0.5,7.9,39,52,43,60,50,65,309,86,60
196,156,1,1561,Quilava,Fire,,Yellow,Blaze,,Flash Fire,2,0,0,0.9,19.0,58,64,58,80,65,80,405,121,80
197,157,1,1571,Typhlosion,Fire,,Yellow,Blaze,,Flash Fire,2,0,0,1.7,79.5,78,84,78,109,85,100,534,172,109
198,158,1,1581,Totodile,Water,,Blue,Torrent,,Sheer Force,2,0,0,0.6,9.5,50,65,64,44,48,43,314,100,65
199,159,1,1591,Croconaw,Water,,Blue,Torrent,,Sheer Force,2,0,0,1.1,25.0,65,80,80,59,63,58,405,135,80
200,160,1,1601,Feraligatr,Water,,Blue,Torrent,,Sheer Force,2,0,0,2.3,88.8,85,105,100,79,83,78,530,188,105
201,161,1,1611,Sentret,Normal,,Brown,Run Away,Keen Eye,Frisk,2,0,0,0.8,6.0,35,46,34,35,45,20,215,71,46
202,162,1,1621,Furret,Normal,,Brown,Run Away,Keen Eye,Frisk,2,0,0,1.8,32.5,85,76,64,45,55,90,415,136,76
203,163,1,1631,Hoothoot,Normal,Flying,Brown,Insomnia,Keen Eye,Tinted Lens,2,0,0,0.7,21.2,60,30,30,36,56,50,262,77,36
204,164,1,1641,Noctowl,Normal,Flying,Brown,Insomnia,Keen Eye,Tinted Lens,2,0,0,1.6,40.8,100,50,50,86,96,70,452,137,86
205,165,1,1651,Ledyba,Bug,Flying,Red,Swarm,Early Bird,Rattled,2,0,0,1.0,10.8,40,20,30,40,80,55,265,68,40
206,166,1,1661,Ledian,Bug,Flying,Red,Swarm,Early Bird,Iron Fist,2,0,0,1.4,35.6,55,35,50,55,110,85,390,106,55
207,167,1,1671,Spinarak,Bug,Poison,Green,Swarm,Insomnia,Sniper,2,0,0,0.5,8.5,40,60,40,40,40,30,250,82,60
208,168,1,1681,Ariados,Bug,Poison,Red,Swarm,Insomnia,Sniper,2,0,0,1.1,33.5,70,90,70,60,70,40,400,151,90
209,169,1,1691,Crobat,Poison,Flying,Purple,Inner Focus,,Infiltrator,2,0,0,1.8,75.0,85,90,80,70,80,130,535,183,90
210,170,1,1701,Chinchou,Water,Electric,Blue,Volt Absorb,Illuminate,Water Absorb,2,0,0,0.5,12.0,75,38,38,56,56,67,330,99,56
211,171,1,1711,Lanturn,Water,Electric,Blue,Volt Absorb,Illuminate,Water Absorb,2,0,0,1.2,22.5,125,58,58,76,76,67,460,172,76
212,172,1,1721,Pichu,Electric,,Yellow,Static,,Lightning Rod,2,0,0,0.3,2.0,20,40,15,35,35,60,205,40,40
213,173,1,1731,Cleffa,Fairy,,Pink,Cute Charm,Magic Guard,Friend Guard,2,0,0,0.3,3.0,50,25,28,45,55,15,218,69,45
214,174,1,1741,Igglybuff,Normal,Fairy,Pink,Cute Charm,Competitive,Friend Guard,2,0,0,0.3,1.0,90,30,15,40,20,15,210,63,40
215,175,1,1751,Togepi,Fairy,,White,Hustle,Serene Grace,Super Luck,2,0,0,0.3,1.5,35,20,65,40,65,20,245,113,40
216,176,1,1761,Togetic,Fairy,Flying,White,Hustle,Serene Grace,Super Luck,2,0,0,0.6,3.2,55,40,85,80,105,40,405,161,80
217,177,1,1771,Natu,Psychic,Flying,Green,Synchronize,Early Bird,Magic Bounce,2,0,0,0.2,2.0,40,50,45,70,45,70,320,89,70
218,178,1,1781,Xatu,Psychic,Flying,Green,Synchronize,Early Bird,Magic Bounce,2,0,0,1.5,15.0,65,75,70,95,70,95,470,146,95
219,179,1,1791,Mareep,Electric,,White,Static,,Plus,2,0,0,0.6,7.8,55,40,40,65,45,35,280,91,65
220,180,1,1801,Flaaffy,Electric,,Pink,Static,,Plus,2,0,0,0.8,13.3,70,55,55,80,60,45,365,125,80
221,181,1,1811,Ampharos,Electric,,Yellow,Static,,Plus,2,0,0,1.4,61.5,90,75,85,115,90,55,510,197,115
222,181,2,1812,Mega Ampharos,Electric,Dragon,Yellow,Mold Breaker,,,2,0,1,1.4,61.5,90,95,105,165,110,45,610,236,165
223,182,1,1821,Bellossom,Grass,,Green,Chlorophyll,,Healer,2,0,0,0.4,5.8,75,80,95,90,100,50,490,200,90
224,183,1,1831,Marill,Water,Fairy,Blue,Thick Fat,Huge Power,Sap Sipper,2,0,0,0.4,8.5,70,20,50,20,50,40,250,116,20
225,184,1,1841,Azumarill,Water,Fairy,Blue,Thick Fat,Huge Power,Sap Sipper,2,0,0,0.8,28.5,100,50,80,60,80,50,420,197,60
226,185,1,1851,Sudowoodo,Rock,,Brown,Sturdy,Rock Head,Rattled,2,0,0,1.2,38.0,70,100,115,30,65,30,410,142,100
227,186,1,1861,Politoed,Water,,Green,Water Absorb,Damp,Drizzle,2,0,0,1.1,33.9,90,75,75,90,100,70,500,178,90
228,187,1,1871,Hoppip,Grass,Flying,Pink,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.4,0.5,35,35,40,35,55,50,250,79,35
229,188,1,1881,Skiploom,Grass,Flying,Green,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.6,1.0,55,45,50,45,65,80,340,106,45
230,189,1,1891,Jumpluff,Grass,Flying,Blue,Chlorophyll,Leaf Guard,Infiltrator,2,0,0,0.6,3.0,75,55,70,55,95,110,460,155,55
231,190,1,1901,Aipom,Normal,,Purple,Run Away,Pickup,Skill Link,2,0,0,0.6,11.5,55,70,55,40,55,85,360,114,70
232,191,1,1911,Sunkern,Grass,,Yellow,Chlorophyll,Solar Power,Early Bird,2,0,0,0.3,1.8,30,30,30,30,30,30,180,63,30
233,192,1,1921,Sunflora,Grass,,Yellow,Chlorophyll,Solar Power,Early Bird,2,0,0,0.8,8.5,75,75,55,105,85,30,425,129,105
234,193,1,1931,Yanma,Bug,Flying,Red,Speed Boost,Compound Eyes,Frisk,2,0,0,1.2,38.0,65,65,45,75,45,95,390,105,75
235,194,1,1941,Wooper,Water,Ground,Blue,Damp,Water Absorb,Unaware,2,0,0,0.4,8.5,55,45,45,25,25,15,210,67,45
236,195,1,1951,Quagsire,Water,Ground,Blue,Damp,Water Absorb,Unaware,2,0,0,1.4,75.0,95,85,85,65,65,35,430,163,85
237,196,1,1961,Espeon,Psychic,,Purple,Synchronize,,Magic Bounce,2,0,0,0.9,26.5,65,65,60,130,95,110,525,130,130
238,197,1,1971,Umbreon,Dark,,Black,Synchronize,,Inner Focus,2,0,0,1.0,27.0,95,65,110,60,130,65,525,252,65
239,198,1,1981,Murkrow,Dark,Flying,Black,Insomnia,Super Luck,Prankster,2,0,0,0.5,2.1,60,85,42,85,42,91,405,97,85
240,199,1,1991,Slowking,Water,Psychic,Pink,Oblivious,Super Luck,Regenerator,2,0,0,2.0,79.5,95,75,80,100,110,30,490,193,100
241,200,1,2001,Misdreavus,Ghost,,Grey,Levitate,,,2,0,0,0.7,1.0,60,60,60,85,85,85,435,126,85
242,201,1,2011,Unown,Psychic,,Black,Levitate,,,2,0,0,0.5,5.0,48,72,48,72,48,48,336,99,72
243,202,1,2021,Wobbuffet,Psychic,,Blue,Shadow Tag,,Telepathy,2,0,0,1.3,28.5,190,33,58,33,58,33,405,221,33
244,203,1,2031,Girafarig,Normal,Psychic,Yellow,Inner Focus,Early Bird,Sap Sipper,2,0,0,1.5,41.5,70,80,65,90,65,85,455,142,90
245,204,1,2041,Pineco,Bug,,Grey,Sturdy,,Overcoat,2,0,0,0.6,7.2,50,65,90,35,35,15,290,80,65
246,205,1,2051,Forretress,Bug,Steel,Purple,Sturdy,,Overcoat,2,0,0,1.2,125.8,75,90,140,60,60,40,465,138,90
247,206,1,2061,Dunsparce,Normal,,Yellow,Serene Grace,Run Away,Rattled,2,0,0,1.5,14.0,100,70,70,65,65,45,415,167,70
248,207,1,2071,Gligar,Ground,Flying,Purple,Hyper Cutter,Sand Veil,Immunity,2,0,0,1.1,64.8,65,75,105,35,65,85,430,138,75
249,208,1,2081,Steelix,Steel,Ground,Grey,Rock Head,Sturdy,Sheer Force,2,0,0,9.2,400.0,75,85,200,55,65,30,510,146,85
250,208,2,2082,Mega Steelix,Steel,Ground,Grey,Sand Force,,,2,0,1,10.5,740.0,75,125,230,55,95,30,610,200,125
251,209,1,2091,Snubbull,Fairy,,Pink,Intimidate,Run Away,Rattled,2,0,0,0.6,7.8,60,80,50,40,40,30,300,93,80
252,210,1,2101,Granbull,Fairy,,Purple,Intimidate,Quick Feet,Rattled,2,0,0,1.4,48.7,90,120,75,60,60,45,450,149,120
253,211,1,2111,Qwilfish,Water,Poison,Grey,Poison Point,Swift Swim,Intimidate,2,0,0,0.5,3.9,65,95,85,55,55,85,440,121,95
254,212,1,2121,Scizor,Bug,Steel,Red,Swarm,Technician,Light Metal,2,0,0,1.8,118.0,70,130,100,55,80,65,500,168,130
255,212,2,2122,Mega Scizor,Bug,Steel,Red,Technician,,,2,0,1,2.0,125.0,70,150,140,65,100,75,600,202,150
256,213,1,2131,Shuckle,Bug,Rock,Yellow,Sturdy,Gluttony,Contrary,2,0,0,0.6,20.5,20,10,230,10,230,5,505,302,10
257,214,1,2141,Heracross,Bug,Fighting,Blue,Swarm,Guts,Moxie,2,0,0,1.5,54.0,80,125,75,40,95,85,500,169,125
258,214,2,2142,Mega Heracross,Bug,Fighting,Blue,Skill Link,,,2,0,1,1.7,62.5,80,185,115,40,105,75,600,223,185
259,215,1,2151,Sneasel,Dark,Ice,Black,Inner Focus,Keen Eye,Pickpocket,2,0,0,0.9,28.0,55,95,55,35,75,115,430,114,95
260,216,1,2161,Teddiursa,Normal,,Brown,Pickup,Quick Feet,Honey Gather,2,0,0,0.6,8.8,60,80,50,50,50,40,330,110,80
261,217,1,2171,Ursaring,Normal,,Brown,Guts,Quick Feet,Unnerve,2,0,0,1.8,125.8,90,130,75,75,75,55,500,178,130
262,218,1,2181,Slugma,Fire,,Red,Magma Armor,Flame Body,Weak Armor,2,0,0,0.7,35.0,40,40,40,70,40,20,250,82,70
263,219,1,2191,Magcargo,Fire,Rock,Red,Magma Armor,Flame Body,Weak Armor,2,0,0,0.8,55.0,60,50,120,90,80,30,430,158,90
264,220,1,2201,Swinub,Ice,Ground,Brown,Oblivious,Snow Cloak,Thick Fat,2,0,0,0.4,6.5,50,50,40,30,30,50,250,72,50
265,221,1,2211,Piloswine,Ice,Ground,Brown,Oblivious,Snow Cloak,Thick Fat,2,0,0,1.1,55.8,100,100,80,60,60,50,450,157,100
266,222,1,2221,Corsola,Water,Rock,Pink,Hustle,Natural Cure,Regenerator,2,0,0,0.6,5.0,65,55,95,65,95,35,410,188,65
267,222,2,2222,Corsola,Ghost,,White,Weak Armor,,Cursed Body,8,0,0,0.6,0.5,65,55,100,65,100,30,415,197,65
268,223,1,2231,Remoraid,Water,,Grey,Hustle,Sniper,Moody,2,0,0,0.6,12.0,35,65,35,65,35,65,300,72,65
269,224,1,2241,Octillery,Water,,Red,Suction Cups,Sniper,Moody,2,0,0,0.9,28.5,75,105,75,105,75,45,480,164,105
270,225,1,2251,Delibird,Ice,Flying,Red,Vital Spilit,Hustle,Insomnia,2,0,0,0.9,16.0,45,55,45,65,45,75,330,92,65
271,226,1,2261,Mantine,Water,Flying,Purple,Swift Swim,Water Absorb,Water Veil,2,0,0,2.1,220.0,85,40,70,80,140,70,485,164,80
272,227,1,2271,Skarmory,Steel,Flying,Grey,Keen Eye,Sturdy,Weak Armor,2,0,0,1.7,50.5,65,80,140,40,70,70,465,146,80
273,228,1,2281,Houndour,Dark,Fire,Black,Early Bird,Flash Fire,Unnerve,2,0,0,0.6,10.8,45,60,30,80,50,65,330,70,80
274,229,1,2291,Houndoom,Dark,Fire,Black,Early Bird,Flash Fire,Unnerve,2,0,0,1.4,35.0,75,90,50,110,80,95,500,120,110
275,229,2,2292,Mega Houndoom,Dark,Fire,Black,Solar Power,,,2,0,1,1.9,49.5,75,90,90,140,90,115,600,191,140
276,230,1,2301,Kingdra,Water,Dragon,Blue,Swift Swim,Sniper,Damp,2,0,0,1.8,152.0,75,95,95,95,95,85,540,200,95
277,231,1,2311,Phanpy,Ground,,Blue,Pickup,,Sand Veil,2,0,0,0.5,33.5,90,60,60,40,40,40,330,111,60
278,232,1,2321,Donphan,Ground,,Grey,Sturdy,,Sand Veil,2,0,0,1.1,120.0,90,120,120,60,60,50,500,149,120
279,233,1,2331,Porygon2,Normal,,Red,Trace,Download,Analytic,2,0,0,0.6,32.5,85,80,90,105,95,60,515,201,105
280,234,1,2341,Stantler,Normal,,Brown,Intimidate,Frisk,Sap Sipper,2,0,0,1.4,71.2,73,95,62,85,65,85,465,140,95
281,235,1,2351,Smeargle,Normal,,White,Own Tempo,Technician,Moody,2,0,0,1.2,58.0,55,20,35,20,45,75,250,83,20
282,236,1,2361,Tyrogue,Fighting,,Purple,Guts,Steadfast,Vital Spilit,2,0,0,0.7,21.0,35,35,35,35,35,35,210,72,35
283,237,1,2371,Hitmontop,Fighting,,Brown,Intimidate,Technician,Steadfast,2,0,0,1.4,48.0,50,95,95,35,110,70,455,171,95
284,238,1,2381,Smoochum,Ice,Psychic,Pink,Oblivious,Forewarn,Hydration,2,0,0,0.5,6.0,45,30,15,85,65,65,305,48,85
285,239,1,2391,Elekid,Electric,,Yellow,Static,,Vital Spilit,2,0,0,0.6,23.5,45,63,37,65,55,95,360,80,65
286,240,1,2401,Magby,Fire,,Red,Flame Body,,Vital Spilit,2,0,0,0.7,21.4,45,75,37,70,55,83,365,80,75
287,241,1,2411,Miltank,Normal,,Pink,Thick Fat,Scrappy,Sap Sipper,2,0,0,1.2,75.5,95,80,105,40,70,100,490,173,80
288,242,1,2421,Blissey,Normal,,Pink,Natural Cure,Serene Grace,Healer,2,0,0,1.5,46.8,255,10,10,75,135,55,540,99,75
289,243,1,2431,Raikou,Electric,,Yellow,Pressure,,Inner Focus,2,1,0,1.9,178.0,90,85,75,115,100,115,580,178,115
290,244,1,2441,Entei,Fire,,Brown,Pressure,,Inner Focus,2,1,0,2.1,198.0,115,115,85,90,75,100,580,201,115
291,245,1,2451,Suicune,Water,,Blue,Pressure,,Inner Focus,2,1,0,2.0,187.0,100,75,115,90,115,85,580,268,90
292,246,1,2461,Larvitar,Rock,Ground,Green,Guts,,Sand Veil,2,0,0,0.6,72.0,50,64,50,45,50,41,300,103,64
293,247,1,2471,Pupitar,Rock,Ground,Grey,Shed Skin,,,2,0,0,1.2,152.0,70,84,70,65,70,51,410,151,84
294,248,1,2481,Tyranitar,Rock,Dark,Green,Sand Stream,,Unnerve,2,0,0,2.0,202.0,100,134,110,95,100,61,600,238,134
295,248,2,2482,Mega Tyranitar,Rock,Dark,Green,Sand Stream,,,2,0,1,2.0,255.0,100,164,150,95,120,71,700,278,164
296,249,1,2491,Lugia,Psychic,Flying,White,Pressure,,Multiscale,2,1,0,5.2,216.0,106,90,130,90,154,110,680,307,90
297,250,1,2501,Ho-Oh,Fire,Flying,Red,Pressure,,Regenerator,2,1,0,3.8,199.0,106,130,90,110,154,90,680,224,130
298,251,1,2511,Celebi,Psychic,Grass,Green,Natural Cure,,,2,1,0,0.6,5.0,100,100,100,100,100,100,600,238,100
299,252,1,2521,Treecko,Grass,,Green,Overgrow,,Unburden,3,0,0,0.5,5.0,40,45,35,65,55,70,310,75,65
300,253,1,2531,Grovyle,Grass,,Green,Overgrow,,Unburden,3,0,0,0.9,21.6,50,65,45,85,65,95,405,95,85
301,254,1,2541,Sceptile,Grass,,Green,Overgrow,,Unburden,3,0,0,1.7,52.2,70,85,65,105,85,120,530,142,105
302,254,2,2542,Mega Sceptile,Grass,Dragon,Green,Lightning Rod,,,3,0,1,1.9,55.2,70,110,75,145,85,145,630,159,145
303,255,1,2551,Torchic,Fire,,Red,Blaze,,Speed Boost,3,0,0,0.4,2.5,45,60,40,70,50,45,310,85,70
304,256,1,2561,Combusken,Fire,Fighting,Red,Blaze,,Speed Boost,3,0,0,0.9,19.5,60,85,60,85,60,55,405,126,85
305,257,1,2571,Blaziken,Fire,Fighting,Red,Blaze,,Speed Boost,3,0,0,1.9,52.0,80,120,70,110,70,80,530,160,120
306,257,2,2572,Mega Blaziken,Fire,Fighting,Red,Speed Boost,,,3,0,1,1.9,52.0,80,160,80,130,80,100,630,178,160
307,258,1,2581,Mudkip,Water,,Blue,Torrent,,Damp,3,0,0,0.4,7.6,50,70,50,50,50,40,310,103,70
308,259,1,2591,Marshtomp,Water,Ground,Blue,Torrent,,Damp,3,0,0,0.7,28.0,70,85,70,60,70,50,405,151,85
309,260,1,2601,Swampert,Water,Ground,Blue,Torrent,,Damp,3,0,0,1.5,81.9,100,110,90,85,90,60,535,218,110
310,260,2,2602,Mega Swampert,Water,Ground,Blue,Swift Swim,,,3,0,1,1.9,102.0,100,150,110,95,110,70,635,258,150
311,261,1,2611,Poochyena,Dark,,Grey,Run Away,Quick Feet,Rattled,3,0,0,0.5,13.6,35,55,35,30,30,35,220,65,55
312,262,1,2621,Mightyena,Dark,,Grey,Intimidate,Quick Feet,Moxie,3,0,0,1.0,37.0,70,90,70,60,60,70,420,134,90
313,263,1,2631,Zigzagoon,Normal,,Brown,Pickup,Gluttony,Quick Feet,3,0,0,0.4,17.5,38,30,41,30,41,60,240,82,30
314,263,2,2632,Zigzagoon,Dark,Normal,White,Pickup,Gluttony,Quick Feet,8,0,0,0.4,17.5,38,30,41,30,41,60,240,82,30
315,264,1,2641,Linoone,Normal,,White,Pickup,Gluttony,Quick Feet,3,0,0,0.5,32.5,78,70,61,50,61,100,420,142,70
316,264,2,2642,Linoone,Dark,Normal,White,Pickup,Gluttony,Quick Feet,8,0,0,0.5,32.5,78,70,61,50,61,100,420,142,70
317,265,1,2651,Wurmple,Bug,,Red,Shield Dust,,Run Away,3,0,0,0.3,3.6,45,45,35,20,30,20,195,70,45
318,266,1,2661,Silcoon,Bug,,White,Shed Skin,,,3,0,0,0.6,10.0,50,35,55,25,25,15,205,65,35
319,267,1,2671,Beautifly,Bug,Flying,Yellow,Swarm,,Rivalry,3,0,0,1.0,28.4,60,70,50,100,50,65,395,110,100
320,268,1,2681,Cascoon,Bug,,Purple,Shed Skin,,,3,0,0,0.7,11.5,50,35,55,25,25,15,205,65,35
321,269,1,2691,Dustox,Bug,Poison,Green,Shield Dust,,Compound Eyes,3,0,0,1.2,31.6,60,50,70,50,90,65,385,142,50
322,270,1,2701,Lotad,Water,Grass,Green,Swift Swim,Rain Dish,Own Tempo,3,0,0,0.5,2.6,40,30,30,40,50,30,220,68,40
323,271,1,2711,Lombre,Water,Grass,Green,Swift Swim,Rain Dish,Own Tempo,3,0,0,1.2,32.5,60,50,50,60,70,50,340,110,60
324,272,1,2721,Ludicolo,Water,Grass,Green,Swift Swim,Rain Dish,Own Tempo,3,0,0,1.5,55.0,80,70,70,90,100,70,480,160,90
325,273,1,2731,Seedot,Grass,,Brown,Chlorophyll,Early Bird,Pickpocket,3,0,0,0.5,4.0,40,40,50,30,30,30,220,68,40
326,274,1,2741,Nuzleaf,Grass,Dark,Brown,Chlorophyll,Early Bird,Pickpocket,3,0,0,1.0,28.0,70,70,40,60,40,60,340,99,70
327,275,1,2751,Shiftry,Grass,Dark,Brown,Chlorophyll,Early Bird,Pickpocket,3,0,0,1.3,59.6,90,100,60,90,60,80,480,149,100
328,276,1,2761,Taillow,Normal,Flying,Blue,Guts,,Scrappy,3,0,0,0.3,2.3,40,55,30,30,30,85,270,68,55
329,277,1,2771,Swellow,Normal,Flying,Blue,Guts,,Scrappy,3,0,0,0.7,19.8,60,85,60,75,50,125,455,110,85
330,278,1,2781,Wingull,Water,Flying,White,Keen Eye,Hydration,Rain Dish,3,0,0,0.6,9.5,40,30,30,55,30,85,270,68,55
331,279,1,2791,Pelipper,Water,Flying,Yellow,Keen Eye,Drizzle,Rain Dish,3,0,0,1.2,28.0,60,50,100,95,70,65,440,142,95
332,280,1,2801,Ralts,Psychic,Fairy,White,Synchronize,Trace,Telepathy,3,0,0,0.4,6.6,28,25,25,45,35,40,198,55,45
333,281,1,2811,Kirlia,Psychic,Fairy,White,Synchronize,Trace,Telepathy,3,0,0,0.8,20.2,38,35,35,65,55,50,278,74,65
334,282,1,2821,Gardevoir,Psychic,Fairy,White,Synchronize,Trace,Telepathy,3,0,0,1.6,48.4,68,65,65,125,115,80,518,141,125
335,282,2,2822,Mega Gardevoir,Psychic,Fairy,White,Pixilate,,,3,0,1,1.6,48.4,68,85,65,165,135,100,618,141,165
336,283,1,2831,Surskit,Bug,Water,Blue,Swift Swim,,Rain Dish,3,0,0,0.5,1.7,40,30,32,50,52,65,269,71,50
337,284,1,2841,Masquerain,Bug,Flying,Blue,Intimidate,,Unnerve,3,0,0,0.8,3.6,70,60,62,100,82,80,454,137,100
338,285,1,2851,Shroomish,Grass,,Brown,Effect Spore,Poison Heal,Quick Feet,3,0,0,0.4,4.5,60,40,60,40,60,35,295,126,40
339,286,1,2861,Breloom,Grass,Fighting,Green,Effect Spore,Poison Heal,Technician,3,0,0,1.2,39.2,60,130,80,60,60,70,460,126,130
340,287,1,2871,Slakoth,Normal,,Brown,Truant,,,3,0,0,0.8,24.0,60,60,60,35,35,30,280,85,60
341,288,1,2881,Vigoroth,Normal,,White,Vital Spilit,,,3,0,0,1.4,46.5,80,80,80,55,55,90,440,132,80
342,289,1,2891,Slaking,Normal,,Brown,Truant,,,3,0,0,2.0,130.5,150,160,100,95,65,100,670,209,160
343,290,1,2901,Nincada,Bug,Ground,Grey,Compound Eyes,,Run Away,3,0,0,0.5,5.5,31,45,90,30,30,40,266,63,45
344,291,1,2911,Ninjask,Bug,Flying,Yellow,Speed Boost,,Infiltrator,3,0,0,0.8,12.0,61,90,45,50,50,160,456,102,90
345,292,1,2921,Shedinja,Bug,Ghost,Brown,Wonder Guard,,,3,0,0,0.8,1.2,1,90,45,30,30,40,236,49,90
346,293,1,2931,Whismur,Normal,,Pink,Soundproof,,Rattled,3,0,0,0.6,16.3,64,51,23,51,23,28,240,68,51
347,294,1,2941,Loudred,Normal,,Blue,Soundproof,,Scrappy,3,0,0,1.0,40.5,84,71,43,71,43,48,360,113,71
348,295,1,2951,Exploud,Normal,,Blue,Soundproof,,Scrappy,3,0,0,1.5,84.0,104,91,63,91,73,68,490,166,91
349,296,1,2961,Makuhita,Fighting,,Yellow,Thick Fat,Guts,Sheer Force,3,0,0,1.0,86.4,72,60,30,20,30,25,237,83,60
350,297,1,2971,Hariyama,Fighting,,Brown,Thick Fat,Guts,Sheer Force,3,0,0,2.3,253.8,144,120,60,40,60,50,474,191,120
351,298,1,2981,Azurill,Normal,Fairy,Blue,Thick Fat,Huge Power,Sap Sipper,3,0,0,0.2,2.0,50,20,40,20,40,20,190,88,20
352,299,1,2991,Nosepass,Rock,,Grey,Sturdy,Magnet Pull,Sand Force,3,0,0,1.0,97.0,30,45,135,45,90,30,375,142,45
353,300,1,3001,Skitty,Normal,,Pink,Cute Charm,Normalize,Wonder Skin,3,0,0,0.6,11.0,50,45,45,35,35,50,260,80,45
354,301,1,3011,Delcatty,Normal,,Purple,Cute Charm,Normalize,Wonder Skin,3,0,0,1.1,32.6,70,65,65,55,55,90,400,125,65
355,302,1,3021,Sableye,Dark,Ghost,Purple,Keen Eye,Stall,Prankster,3,0,0,0.5,11.0,50,75,75,65,65,50,380,126,75
356,302,2,3022,Mega Sableye,Dark,Ghost,Purple,Magic Bounce,,,3,0,1,0.5,161.0,50,85,125,85,115,20,480,202,85
357,303,1,3031,Mawile,Steel,Fairy,Black,Hyper Cutter,Intimidate,Sheer Force,3,0,0,0.6,11.5,50,85,85,55,55,50,380,110,85
358,303,2,3032,Mega Mawile,Steel,Fairy,Black,Huge Power,,,3,0,1,1.0,23.5,50,105,125,55,95,50,480,171,105
359,304,1,3041,Aron,Steel,Rock,Grey,Sturdy,Rock Head,Heavy Metal,3,0,0,0.4,60.0,50,70,100,40,40,30,330,88,70
360,305,1,3051,Lairon,Steel,Rock,Grey,Sturdy,Rock Head,Heavy Metal,3,0,0,0.9,120.0,60,90,140,50,50,40,430,110,90
361,306,1,3061,Aggron,Steel,Rock,Grey,Sturdy,Rock Head,Heavy Metal,3,0,0,2.1,360.0,70,110,180,60,60,50,530,134,110
362,306,2,3062,Mega Aggron,Steel,,Grey,Filter,,,3,0,1,2.2,395.0,70,140,230,60,80,50,630,168,140
363,307,1,3071,Meditite,Fighting,Psychic,Blue,Pure Power,,Telepathy,3,0,0,0.6,11.2,30,40,55,40,55,60,280,96,40
364,308,1,3081,Medicham,Fighting,Psychic,Red,Pure Power,,Telepathy,3,0,0,1.3,31.5,60,60,75,60,75,80,410,150,60
365,308,2,3082,Mega Medicham,Fighting,Psychic,Red,Pure Power,,,3,0,1,1.3,31.5,60,100,85,80,85,100,510,166,100
366,309,1,3091,Electrike,Electric,,Green,Static,Lightning Rod,Minus,3,0,0,0.6,15.2,40,45,40,65,40,65,295,82,65
367,310,1,3101,Manectric,Electric,,Yellow,Static,Lightning Rod,Minus,3,0,0,1.5,40.2,70,75,60,105,60,105,475,134,105
368,310,2,3102,Mega Manectric,Electric,,Yellow,Intimidate,,,3,0,1,1.8,44.0,70,75,80,135,80,135,575,168,135
369,311,1,3111,Plusle,Electric,,Yellow,Plus,,Lightning Rod,3,0,0,0.4,4.2,60,50,40,85,75,95,405,93,85
370,312,1,3121,Minun,Electric,,Yellow,Minus,,Lightning Rod,3,0,0,0.4,4.2,60,40,50,75,85,95,405,110,75
371,313,1,3131,Volbeat,Bug,,Grey,Illuminate,Swarm,Prankster,3,0,0,0.7,17.7,65,73,75,47,85,85,430,155,73
372,314,1,3141,Illumise,Bug,,Purple,Oblivious,Tinted Lens,Prankster,3,0,0,0.6,17.7,65,47,75,73,85,85,430,155,73
373,315,1,3151,Roselia,Grass,Poison,Green,Natural Cure,Poison Point,Leaf Guard,3,0,0,0.3,2.0,50,60,45,100,80,65,400,95,100
374,316,1,3161,Gulpin,Poison,,Green,Liquid Ooze,Sticky Hold,Gluttony,3,0,0,0.4,10.3,70,43,53,43,53,40,302,122,43
375,317,1,3171,Swalot,Poison,,Purple,Liquid Ooze,Sticky Hold,Gluttony,3,0,0,1.7,80.0,100,73,83,73,83,55,467,204,73
376,318,1,3181,Carvanha,Water,Dark,Red,Rough Skin,,Speed Boost,3,0,0,0.8,20.8,45,90,20,65,20,65,305,55,90
